,authors,title,venue,type,year,access,key,ee
228,"Giorgia Pitteri,Aurélie Bugeau,Slobodan Ilic,Vincent Lepetit",3D Object Detection and Pose Estimation of Unseen Objects in Color Images with Local Surface Embeddings.,ACCV,Conference and Workshop Papers,2020,closed,conf/accv/PitteriBIL20,https://doi.org/10.1007/978-3-030-69525-5_3
229,"Noor M. Al-Shakarji,Ekincan Ufuktepe,Filiz Bunyak,Hadi Aliakbarpour,Guna Seetharaman,Kannappan Palaniappan",Semi-automatic System for Rapid Annotation of Moving Objects in Surveillance Videos using Deep Detection and Multi-object Tracking Techniques.,AIPR,Conference and Workshop Papers,2020,closed,conf/aipr/Al-ShakarjiUBAS20,https://doi.org/10.1109/AIPR50011.2020.9425339
230,"Lino Antoni Giefer,Razieh Khamsehashari,Kerstin Schill",Evaluation of Measurement Space Representations of Deep Multi-Modal Object Detection for Extended Object Tracking in Autonomous Driving.,CAVS,Conference and Workshop Papers,2020,closed,conf/cavs/GieferKS20,https://doi.org/10.1109/CAVS51000.2020.9334646
231,"Yicong Zhang,Mingyu Wang,Zhaolin Li",An efficient object detection framework with modified dense connections for small objects optimizations.,CF,Conference and Workshop Papers,2020,closed,conf/cf/ZhangWL20,https://doi.org/10.1145/3387902.3392620
232,"Jan Blaha,George Broughton,Tomás Krajník",Boosting the Performance of Object Detection CNNs with Context-Based Anomaly Detection.,CollaborateCom,Conference and Workshop Papers,2020,closed,conf/colcom/BlahaBK20,https://doi.org/10.1007/978-3-030-67537-0_11
233,"Sourav Chandra Mandal,Oishila Bandyopadhyay,Sanjoy Pratihar",Detection of Concave Points in Closed Object Boundaries Aiming at Separation of Overlapped Objects.,CVIP,Conference and Workshop Papers,2020,closed,conf/cvip/MandalBP20,https://doi.org/10.1007/978-981-16-1103-2_43
234,"Yue Liao,Si Liu 0001,Fei Wang 0032,Yanjie Chen,Chen Qian 0006,Jiashi Feng",PPDM: Parallel Point Detection and Matching for Real-Time Human-Object Interaction Detection.,CVPR,Conference and Workshop Papers,2020,open,conf/cvpr/LiaoLWCQF20,https://openaccess.thecvf.com/content_CVPR_2020/html/Liao_PPDM_Parallel_Point_Detection_and_Matching_for_Real-Time_Human-Object_Interaction_CVPR_2020_paper.html
235,"Qi Chen,Lin Sun 0004,Zhixin Wang,Kui Jia,Alan L. Yuille",Object as Hotspots: An Anchor-Free 3D Object Detection Approach via Firing of Hotspots.,ECCV,Conference and Workshop Papers,2020,closed,conf/eccv/ChenSWJY20,https://doi.org/10.1007/978-3-030-58589-1_5
236,"JunYoung Gwak,Christopher B. Choy,Silvio Savarese",Generative Sparse Detection Networks for 3D Single-Shot Object Detection.,ECCV,Conference and Workshop Papers,2020,closed,conf/eccv/GwakCS20,https://doi.org/10.1007/978-3-030-58548-8_18
237,"Yang Xiao 0009,Renaud Marlet",Few-Shot Object Detection and Viewpoint Estimation for Objects in the Wild.,ECCV,Conference and Workshop Papers,2020,closed,conf/eccv/XiaoM20,https://doi.org/10.1007/978-3-030-58520-4_12
238,"Chun-Han Yao,Chen Fang,Xiaohui Shen,Yangyue Wan,Ming-Hsuan Yang 0001",Video Object Detection via Object-Level Temporal Aggregation.,ECCV,Conference and Workshop Papers,2020,closed,conf/eccv/YaoFSW020,https://doi.org/10.1007/978-3-030-58568-6_10
239,"Tejas Chheda,Soumya Koppaka,Rithvika Iyer,Dhananjay Kalbande","A Survey on Object Detection, Annotation and Anomaly Detection Methods for Endoscopic Videos.",ICCCS,Conference and Workshop Papers,2020,closed,conf/icccs/ChhedaKIK20,https://doi.org/10.1109/ICCCS49678.2020.9277436
240,"Srikrishna Varadarajan,Sonaal Kant,Muktabh Mayank Srivastava",Benchmark for Generic Product Detection: A Low Data Baseline for Dense Object Detection.,ICIAR,Conference and Workshop Papers,2020,closed,conf/iciar/VaradarajanKS20,https://doi.org/10.1007/978-3-030-50347-5_3
241,"Junda Ren,Yongkun Du,Zhineng Chen,Fen Xiao,Caiyan Jia,Hongyun Bao",An Empirical Study of Object Detectors and Its Verification on the Embedded Object Detection Model Competition.,ICME Workshops,Conference and Workshop Papers,2020,closed,conf/icmcs/RenDCXJB20,https://doi.org/10.1109/ICMEW46912.2020.9105978
242,"Jaekyum Kim,Junho Koh,Byeongwon Lee,Seungji Yang,Jun Won Choi",Video Object Detection Using Object&apos;s Motion Context and Spatio-Temporal Feature Aggregation.,ICPR,Conference and Workshop Papers,2020,closed,conf/icpr/KimKLYC20,https://doi.org/10.1109/ICPR48806.2021.9412715
243,"Hiroyuki Komori,Kazunori Onoguchi",Lane Detection based on Object Detection and Image-to-image Translation.,ICPR,Conference and Workshop Papers,2020,closed,conf/icpr/KomoriO20,https://doi.org/10.1109/ICPR48806.2021.9412400
244,"Ryosuke Araki,Takeshi Onishi,Tsubasa Hirakawa,Takayoshi Yamashita,Hironobu Fujiyoshi","MT-DSSD: Deconvolutional Single Shot Detector Using Multi Task Learning for Object Detection, Segmentation, and Grasping Detection.",ICRA,Conference and Workshop Papers,2020,closed,conf/icra/ArakiOHYF20,https://doi.org/10.1109/ICRA40945.2020.9197251
245,"Dongwon Park,Yonghyeok Seo,Dongju Shin,Jaesik Choi,Se Young Chun",A Single Multi-Task Deep Neural Network with Post-Processing for Object Detection with Reasoning and Robotic Grasp Detection.,ICRA,Conference and Workshop Papers,2020,closed,conf/icra/ParkSSCC20,https://doi.org/10.1109/ICRA40945.2020.9197179
246,"Alex D. Pon,Jason Ku 0001,Chengyao Li,Steven L. Waslander",Object-Centric Stereo Matching for 3D Object Detection.,ICRA,Conference and Workshop Papers,2020,closed,conf/icra/PonKLW20,https://doi.org/10.1109/ICRA40945.2020.9196660
247,"Luc Courtrai,Minh-Tan Pham,Chloé Friguet,Sébastien Lefèvre",Small Object Detection from Remote Sensing Images with the Help of Object-Focused Super-Resolution Using Wasserstein GANs.,IGARSS,Conference and Workshop Papers,2020,closed,conf/igarss/CourtraiPFL20,https://doi.org/10.1109/IGARSS39084.2020.9323236
248,"Damien Grosgeorge,Maxime Arbelot,Alex Goupilleau,Tugdual Ceillier,Renaud Allioux",Concurrent Segmentation and Object Detection CNNs for Aircraft Detection and Identification in Satellite Images.,IGARSS,Conference and Workshop Papers,2020,closed,conf/igarss/GrosgeorgeAGCA20,https://doi.org/10.1109/IGARSS39084.2020.9323338
249,"Masato Nohara,Hiroaki Nishi",Video Object Detection Method Using Single-Frame Detection and Motion Vector Tracking.,INDIN,Conference and Workshop Papers,2020,closed,conf/indin/NoharaN20,https://doi.org/10.1109/INDIN45582.2020.9442163
250,"Wentao Bao,Qi Yu 0001,Yu Kong",Object-Aware Centroid Voting for Monocular 3D Object Detection.,IROS,Conference and Workshop Papers,2020,closed,conf/iros/BaoYK20,https://doi.org/10.1109/IROS45743.2020.9340889
251,"Su Pang,Daniel D. Morris,Hayder Radha",CLOCs: Camera-LiDAR Object Candidates Fusion for 3D Object Detection.,IROS,Conference and Workshop Papers,2020,closed,conf/iros/PangMR20,https://doi.org/10.1109/IROS45743.2020.9341791
252,"Tejas Chheda,Rithvika Iyer,Soumya Koppaka,Dhananjay Kalbande",Gastrointestinal Tract Anomaly Detection from Endoscopic Videos Using Object Detection Approach.,ISVC,Conference and Workshop Papers,2020,closed,conf/isvc/ChhedaIKK20,https://doi.org/10.1007/978-3-030-64559-5_39
253,"Carlos Gómez Huélamo,Javier del Egido,Luis Miguel Bergasa,Rafael Barea,Manuel Ocaña,Juan Felipe Arango,Rodrigo Gutiérrez-Moreno",Real-Time Bird&apos;s Eye View Multi-Object Tracking system based on Fast Encoders for Object Detection.,ITSC,Conference and Workshop Papers,2020,closed,conf/itsc/HuelamoEBBOAG20,https://doi.org/10.1109/ITSC45102.2020.9294737
254,"Shuai Wang 0011,Zhendong Su 0001",Metamorphic Object Insertion for Testing Object Detection Systems.,ASE,Conference and Workshop Papers,2020,closed,conf/kbse/WangS20,https://doi.org/10.1145/3324884.3416584
255,"Ke Yang,Peng Zhang 0035,Peng Qiao,Zhiyuan Wang,Dongsheng Li,Yong Dou",Objectness Consistent Representation for Weakly Supervised Object Detection.,ACM Multimedia,Conference and Workshop Papers,2020,closed,conf/mm/YangZQWLD20,https://doi.org/10.1145/3394171.3413835
256,"Ping-yeh Chiang,Michael J. Curry,Ahmed Abdelkader,Aounon Kumar,John Dickerson 0001,Tom Goldstein",Detection as Regression: Certified Object Detection with Median Smoothing.,NeurIPS,Conference and Workshop Papers,2020,open,conf/nips/ChiangCAK0G20,https://proceedings.neurips.cc/paper/2020/hash/0dd1bc593a91620daecf7723d2235624-Abstract.html
257,"Ka Ho Chow,Ling Liu 0001,Margaret Loper,Juhyun Bae,Mehmet Emre Gursoy,Stacey Truex,Wenqi Wei,Yanzhao Wu",Adversarial Objectness Gradient Attacks in Real-time Object Detection Systems.,TPS-ISA,Conference and Workshop Papers,2020,closed,conf/tpsisa/ChowLLBGTWW20,https://doi.org/10.1109/TPS-ISA50397.2020.00042
258,"Chenhao Lin,Siwen Wang,Dongqi Xu,Yu Lu,Wayne Zhang",Object Instance Mining for Weakly Supervised Object Detection.,CoRR,Informal Publications,2020,open,journals/corr/abs-2002-01087,https://arxiv.org/abs/2002.01087
259,"Liao Zhang,Yan Yan 0001,Lin Cheng,Hanzi Wang",Learning Object Scale With Click Supervision for Object Detection.,CoRR,Informal Publications,2020,open,journals/corr/abs-2002-08555,https://arxiv.org/abs/2002.08555
260,"Gökhan Yildirim,Debashis Sen,Mohan S. Kankanhalli,Sabine Süsstrunk",Evaluating Salient Object Detection in Natural Images with Multiple Objects having Multi-level Saliency.,CoRR,Informal Publications,2020,open,journals/corr/abs-2003-08514,https://arxiv.org/abs/2003.08514
261,"Jakaria Rabbi,Nilanjan Ray,Matthias Schubert,Subir Chowdhury,Dennis Chao",Small-Object Detection in Remote Sensing Images with End-to-End Edge-Enhanced GAN and Object Detector Network.,CoRR,Informal Publications,2020,open,journals/corr/abs-2003-09085,https://arxiv.org/abs/2003.09085
262,"Alan B. Cannaday II,Curt H. Davis,Grant J. Scott,Blake Ruprecht,Derek T. Anderson",Broad Area Search and Detection of Surface-to-Air Missile Sites Using Spatial Fusion of Component Object Detections from Deep Neural Networks.,CoRR,Informal Publications,2020,open,journals/corr/abs-2003-10566,https://arxiv.org/abs/2003.10566
263,"Ka Ho Chow,Ling Liu 0001,Mehmet Emre Gursoy,Stacey Truex,Wenqi Wei,Yanzhao Wu",TOG: Targeted Adversarial Objectness Gradient Attacks on Real-time Object Detection Systems.,CoRR,Informal Publications,2020,open,journals/corr/abs-2004-04320,https://arxiv.org/abs/2004.04320
264,"Damien Grosgeorge,Maxime Arbelot,Alex Goupilleau,Tugdual Ceillier,Renaud Allioux",Concurrent Segmentation and Object Detection CNNs for Aircraft Detection and Identification in Satellite Images.,CoRR,Informal Publications,2020,open,journals/corr/abs-2005-13215,https://arxiv.org/abs/2005.13215
265,"Omid Mohamad Nezami,Akshay Chaturvedi,Mark Dras,Utpal Garain",Pick-Object-Attack: Type-Specific Adversarial Attack for Object Detection.,CoRR,Informal Publications,2020,open,journals/corr/abs-2006-03184,https://arxiv.org/abs/2006.03184
266,"JunYoung Gwak,Christopher B. Choy,Silvio Savarese",Generative Sparse Detection Networks for 3D Single-shot Object Detection.,CoRR,Informal Publications,2020,open,journals/corr/abs-2006-12356,https://arxiv.org/abs/2006.12356
267,"Ping-yeh Chiang,Michael J. Curry,Ahmed Abdelkader,Aounon Kumar,John P. Dickerson,Tom Goldstein",Detection as Regression: Certified Object Detection by Median Smoothing.,CoRR,Informal Publications,2020,open,journals/corr/abs-2007-03730,https://arxiv.org/abs/2007.03730
268,"Wentao Bao,Qi Yu 0001,Yu Kong",Object-Aware Centroid Voting for Monocular 3D Object Detection.,CoRR,Informal Publications,2020,open,journals/corr/abs-2007-09836,https://arxiv.org/abs/2007.09836
269,"Yang Xiao 0009,Renaud Marlet",Few-Shot Object Detection and Viewpoint Estimation for Objects in the Wild.,CoRR,Informal Publications,2020,open,journals/corr/abs-2007-12107,https://arxiv.org/abs/2007.12107
270,"Zhenyu Wu,Shuai Li 0001,Chenglizhao Chen,Aimin Hao,Hong Qin","Rethinking of the Image Salient Object Detection: Object-level Semantic Saliency Re-ranking First, Pixel-wise Saliency Refinement Latter.",CoRR,Informal Publications,2020,open,journals/corr/abs-2008-05397,https://arxiv.org/abs/2008.05397
271,"Su Pang,Daniel Morris 0002,Hayder Radha",CLOCs: Camera-LiDAR Object Candidates Fusion for 3D Object Detection.,CoRR,Informal Publications,2020,open,journals/corr/abs-2009-00784,https://arxiv.org/abs/2009.00784
272,"Giorgia Pitteri,Aurélie Bugeau,Slobodan Ilic,Vincent Lepetit",3D Object Detection and Pose Estimation of Unseen Objects in Color Images with Local Surface Embeddings.,CoRR,Informal Publications,2020,open,journals/corr/abs-2010-04075,https://arxiv.org/abs/2010.04075
273,"Qichuan Geng,Hong Zhang,Na Jiang,Xiaojuan Qi,Liangjun Zhang,Zhong Zhou",Object-aware Feature Aggregation for Video Object Detection.,CoRR,Informal Publications,2020,open,journals/corr/abs-2010-12573,https://arxiv.org/abs/2010.12573
274,"Shang Jiang,Haoran Qin,Bingli Zhang,Jieyu Zheng",Optimized Loss Functions for Object detection: A Case Study on Nighttime Vehicle Detection.,CoRR,Informal Publications,2020,open,journals/corr/abs-2011-05523,https://arxiv.org/abs/2011.05523
275,"Junho Koh,Jaekyum Kim,Younji Shin,Byeongwon Lee,Seungji Yang,Jun Won Choi",Joint Representation of Temporal Image Sequences and Object Motion for Video Object Detection.,CoRR,Informal Publications,2020,open,journals/corr/abs-2011-10278,https://arxiv.org/abs/2011.10278
276,"Shamim Yousefi,Farnaz Derakhshan",MultiAgent Face Detection (MAFD): A Multiagent System for Enhancing the Performance of Object Detection in Wireless Multimedia Sensor Networks.,Ad Hoc Sens. Wirel. Networks,Journal Articles,2019,closed,journals/ahswn/YousefiD19,https://www.oldcitypublishing.com/journals/ahswn-home/ahswn-issue-contents/ahswn-volume-44-number-3-4-2019/18319-2/
277,"Di He,Ke Xu 0005,Peng Zhou 0004",Defect detection of hot rolled steels with a new object detection framework called classification priority network.,Comput. Ind. Eng.,Journal Articles,2019,closed,journals/candie/HeXZ19,https://doi.org/10.1016/j.cie.2018.12.043
278,"Qimei Wang,Feng Qi 0002,Minghe Sun,Jianhua Qu,Jie Xue 0001",Identification of Tomato Disease Types and Detection of Infected Areas Based on Deep Convolutional Neural Networks and Object Detection Techniques.,Comput. Intell. Neurosci.,Journal Articles,2019,open,journals/cin/WangQSQX19,https://doi.org/10.1155/2019/9142753
279,"Tapiwanashe Miranda Sanyanga,Munyaradzi Sydney Chinzvende,Tatenda Duncan Kavu,John Batani",Searching Objects in a Video Footage: Dropping Frames and Object Detection Approach.,Int. J. ICT Res. Afr. Middle East,Journal Articles,2019,closed,journals/ijictrame/SanyangaCKB19,https://doi.org/10.4018/ijictrame.2019070102
280,"Yuzhu Ji,Haijun Zhang 0002,Kuo-Kun Tseng,Tommy W. S. Chow,Q. M. Jonathan Wu",Graph model-based salient object detection using objectness and multiple saliency cues.,Neurocomputing,Journal Articles,2019,closed,journals/ijon/JiZTCW19,https://doi.org/10.1016/j.neucom.2018.09.081
281,"Guanzhong Tian,Liang Liu 0007,JongHyok Ri,Yong Liu 0007,Yiran Sun",ObjectFusion: An object detection and segmentation framework with RGB-D SLAM and convolutional neural networks.,Neurocomputing,Journal Articles,2019,closed,journals/ijon/TianLRLS19,https://doi.org/10.1016/j.neucom.2019.01.088
282,"Ala Mhalla,Thierry Chateau,Najoua Essoukri Ben Amara",Spatio-temporal object detection by deep learning: Video-interlacing to improve multi-object tracking.,Image Vis. Comput.,Journal Articles,2019,closed,journals/ivc/MhallaCA19,https://doi.org/10.1016/j.imavis.2019.03.002
283,"Zong-Ying Shen,Shiang-Yu Han,Li-Chen Fu,Pei-Yung Hsiao,Yo-Chung Lau,Sheng-Jen Chang",Deep convolution neural network with scene-centric and object-centric information for object detection.,Image Vis. Comput.,Journal Articles,2019,closed,journals/ivc/ShenHFHLC19,https://doi.org/10.1016/j.imavis.2019.03.004
284,"Jin-Sung Kim,Youhak Lee,Kyujoong Lee,Hyuk-Jae Lee",Fast ROI Detection for Speed up in a CNN based Object Detection.,J. Multim. Inf. Syst.,Journal Articles,2019,open,journals/jmmis/KimLLL19,https://doi.org/10.33851/jmis.2019.6.4.203
285,"Kumar S. Ray 0001,Soma Chakraborty",Object detection by spatio-temporal analysis and tracking of the detected objects in a video with variable background.,J. Vis. Commun. Image Represent.,Journal Articles,2019,closed,journals/jvcir/RayC19,https://doi.org/10.1016/j.jvcir.2018.12.002
286,"Gargi Srivastava,Rajeev Srivastava","Salient object detection using background subtraction, Gabor filters, objectness and minimum directional backgroundness.",J. Vis. Commun. Image Represent.,Journal Articles,2019,closed,journals/jvcir/SrivastavaS19,https://doi.org/10.1016/j.jvcir.2019.06.005
287,"Bin Wang 0004,Sheng Tang,Jun Bin Xiao,Quan-Feng Yan,Yong-Dong Zhang 0001",Detection and tracking based tubelet generation for video object detection.,J. Vis. Commun. Image Represent.,Journal Articles,2019,closed,journals/jvcir/WangTXYZ19,https://doi.org/10.1016/j.jvcir.2018.11.014
288,"Hooman Afsharirad,Seyed Alireza Seyedin",Salient object detection using the phase information and object model.,Multim. Tools Appl.,Journal Articles,2019,closed,journals/mta/AfshariradS19,https://doi.org/10.1007/s11042-019-7255-7
289,"Hooman Afsharirad,Seyed Alireza Seyedin",Correction to: Salient object detection using the phase information and object model.,Multim. Tools Appl.,Journal Articles,2019,open,journals/mta/AfshariradS19a,https://doi.org/10.1007/s11042-019-7431-9
290,"Xiuyan Tian,Haifang Li,Hongxia Deng",Object Tracking Algorithm based on Improved Context Model in Combination with Detection Mechanism for Suspected Objects.,Multim. Tools Appl.,Journal Articles,2019,closed,journals/mta/TianLD19,https://doi.org/10.1007/s11042-018-7025-y
291,"Yan Li 0043,Junge Zhang,Kaiqi Huang,Jianguo Zhang 0001",Mixed Supervised Object Detection with Robust Objectness Transfer.,IEEE Trans. Pattern Anal. Mach. Intell.,Journal Articles,2019,closed,journals/pami/LiZHZ19,https://doi.org/10.1109/TPAMI.2018.2810288
292,"Lachlan Nicholson,Michael Milford,Niko Sünderhauf",QuadricSLAM: Dual Quadrics From Object Detections as Landmarks in Object-Oriented SLAM.,IEEE Robotics Autom. Lett.,Journal Articles,2019,closed,journals/ral/NicholsonMS19,https://doi.org/10.1109/LRA.2018.2866205
293,"Zhiyuan Lin,Qingxiao Wu,Shuangfei Fu,Sikui Wang,Zhongyu Zhang,Yanzi Kong",Dual-NMS: A Method for Autonomously Removing False Detection Boxes from Aerial Image Object Detection Results.,Sensors,Journal Articles,2019,open,journals/sensors/LinWFWZK19,https://doi.org/10.3390/s19214691
294,"Liao Zhang,Yan Yan 0001,Lin Cheng,Hanzi Wang",Learning Object Scale With Click Supervision for Object Detection.,IEEE Signal Process. Lett.,Journal Articles,2019,closed,journals/spl/ZhangYCW19,https://doi.org/10.1109/LSP.2019.2937387
295,"Jisang Yoo,Gyu-cheol Lee",Moving Object Detection Using an Object Motion Reflection Model of Motion Vectors.,Symmetry,Journal Articles,2019,open,journals/symmetry/YooL19,https://doi.org/10.3390/sym11010034
296,"Yuan Zhou 0006,Ailing Mao,Shuwei Huo,Jianjun Lei,Sun-Yuan Kung",Salient Object Detection via Fuzzy Theory and Object-Level Enhancement.,IEEE Trans. Multim.,Journal Articles,2019,closed,journals/tmm/0006MHLK19,https://doi.org/10.1109/TMM.2018.2845667
297,"Yusuke Niitani,Takuya Akiba,Tommi Kerola,Toru Ogawa,Shotaro Sano,Shuji Suzuki",Sampling Techniques for Large-Scale Object Detection From Sparsely Annotated Objects.,CVPR,Conference and Workshop Papers,2019,open,conf/cvpr/NiitaniAKOSS19,http://openaccess.thecvf.com/content_CVPR_2019/html/Niitani_Sampling_Techniques_for_Large-Scale_Object_Detection_From_Sparsely_Annotated_Objects_CVPR_2019_paper.html
298,"Johann Sawatzky,Yaser Souri,Christian Grund,Jürgen Gall",What Object Should I Use? - Task Driven Object Detection.,CVPR,Conference and Workshop Papers,2019,open,conf/cvpr/SawatzkySGG19,http://openaccess.thecvf.com/content_CVPR_2019/html/Sawatzky_What_Object_Should_I_Use_-_Task_Driven_Object_Detection_CVPR_2019_paper.html
299,"Krishna Kumar Singh,Yong Jae Lee",You Reap What You Sow: Using Videos to Generate High Precision Object Proposals for Weakly-Supervised Object Detection.,CVPR,Conference and Workshop Papers,2019,open,conf/cvpr/SinghL19,http://openaccess.thecvf.com/content_CVPR_2019/html/Singh_You_Reap_What_You_Sow_Using_Videos_to_Generate_High_CVPR_2019_paper.html
300,"Syed Tahseen Raza Rizvi,Adriano Lucieri,Andreas Dengel 0001,Sheraz Ahmed",Benchmarking Object Detection Networks for Image Based Reference Detection in Document Images.,DICTA,Conference and Workshop Papers,2019,closed,conf/dicta/RizviL0A19,https://doi.org/10.1109/DICTA47822.2019.8945991
301,"Haijun Lei,Shaomin Liu,Hai Xie,Jong Yih Kuo,Baiying Lei",An Improved Object Detection Method for Mitosis Detection.,EMBC,Conference and Workshop Papers,2019,closed,conf/embc/LeiLXKL19,https://doi.org/10.1109/EMBC.2019.8857343
302,"Robert Manthey,Falk Schmidsberger,Rico Thomanek,Christian Roschke,Tony Rolletschke,Benny Platte,Marc Ritter,Danny Kowerko",An Exploratory Inspection of the Detection Quality of Pose and Object Detection Systems by Synthetic Data.,HCI,Conference and Workshop Papers,2019,closed,conf/hci/MantheySTRRPRK19,https://doi.org/10.1007/978-3-030-23528-4_40
303,"Shaji Thorn Blue,M. Brindha",Edge detection based boundary box construction algorithm for improving the precision of object detection in YOLOv3.,ICCCNT,Conference and Workshop Papers,2019,closed,conf/icccnt/BlueB19,https://doi.org/10.1109/ICCCNT45670.2019.8944852
304,"Chan-Tong Lam,Benjamin K. Ng,Chi-Wang Chan",Real-Time Traffic Status Detection from on-Line Images Using Generic Object Detection System with Deep Learning.,ICCT,Conference and Workshop Papers,2019,closed,conf/icct/LamNC19,https://doi.org/10.1109/ICCT46805.2019.8947064
305,"Shuai Shao 0005,Zeming Li,Tianyuan Zhang,Chao Peng 0001,Gang Yu,Xiangyu Zhang 0005,Jing Li,Jian Sun 0001","Objects365: A Large-Scale, High-Quality Dataset for Object Detection.",ICCV,Conference and Workshop Papers,2019,closed,conf/iccv/0005LZPYZLS19,https://doi.org/10.1109/ICCV.2019.00852
306,"Yi Liu 0038,Qiang Zhang 0020,Dingwen Zhang,Jungong Han",Employing Deep Part-Object Relationships for Salient Object Detection.,ICCV,Conference and Workshop Papers,2019,closed,conf/iccv/00380ZH19,https://doi.org/10.1109/ICCV.2019.00132
307,"Hanming Deng,Yang Hua,Tao Song,Zongpu Zhang,Zhengui Xue,Ruhui Ma,Neil Martin Robertson,Haibing Guan",Object Guided External Memory Network for Video Object Detection.,ICCV,Conference and Workshop Papers,2019,closed,conf/iccv/DengHSZXMRG19,https://doi.org/10.1109/ICCV.2019.00678
308,"Satoshi Kosugi,Toshihiko Yamasaki,Kiyoharu Aizawa",Object-Aware Instance Labeling for Weakly Supervised Object Detection.,ICCV,Conference and Workshop Papers,2019,closed,conf/iccv/KosugiYA19,https://doi.org/10.1109/ICCV.2019.00616
309,"Gao Yan,Boxiao Liu,Nan Guo,Xiaochun Ye,Fang Wan,Haihang You,Dongrui Fan",C-MIDN: Coupled Multiple Instance Detection Network With Segmentation Guidance for Weakly Supervised Object Detection.,ICCV,Conference and Workshop Papers,2019,closed,conf/iccv/YanLGYWYF19,https://doi.org/10.1109/ICCV.2019.00993
310,"Zhaoyang Zeng,Bei Liu 0001,Jianlong Fu,Hongyang Chao,Lei Zhang",WSOD2: Learning Bottom-Up and Top-Down Objectness Distillation for Weakly-Supervised Object Detection.,ICCV,Conference and Workshop Papers,2019,closed,conf/iccv/ZengLFCZ19,https://doi.org/10.1109/ICCV.2019.00838
311,"Yasitha M. Wijesinghe,Jayathu G. Samarawickrama,Dileeka Dias",Hardware and Software Co-Design for Object Detection with Modified ViBe Algorithm and Particle Filtering Based Object Tracking.,ICIIS,Conference and Workshop Papers,2019,closed,conf/iciis/WijesingheSD19,https://doi.org/10.1109/ICIIS47346.2019.9063249
312,"Cheng-Hsiung Hsieh,Dung-Ching Lin,Cheng-Jia Wang,Zong-Ting Chen,Jiun-Jian Liaw",Real-Time Car Detection and Driving Safety Alarm System With Google Tensorflow Object Detection API.,ICMLC,Conference and Workshop Papers,2019,closed,conf/icmlc/HsiehLWCL19,https://doi.org/10.1109/ICMLC48188.2019.8949265
313,"Martin Alsfasser,Jan Siegemund,Jittu Kurian,Anton Kummert",Exploiting polar grid structure and object shadows for fast object detection in point clouds.,ICMV,Conference and Workshop Papers,2019,closed,conf/icmv/AlsfasserSKK19,https://doi.org/10.1117/12.2557043
314,"Hakan Karaoguz,Patric Jensfelt",Object Detection Approach for Robot Grasp Detection.,ICRA,Conference and Workshop Papers,2019,closed,conf/icra/KaraoguzJ19,https://doi.org/10.1109/ICRA.2019.8793751
315,"Tiagrajah V. Janahiraman,Mohamed Shahrul Mohamed Subuhan",Traffic Light Detection Using Tensorflow Object Detection Framework.,ICSET,Conference and Workshop Papers,2019,closed,conf/icsengt/JanahiramanS19a,https://doi.org/10.1109/ICSEngT.2019.8906486
316,"Muhammad Jahanzeb Khan,Adeel Zafar,Valeriia Tumanian,Ding Yue,Guoqiang Li 0001",Object Detection Boosting using Object Attributes in Detect and Describe Framework.,ICTAI,Conference and Workshop Papers,2019,closed,conf/ictai/KhanZTYL19,https://doi.org/10.1109/ICTAI.2019.00126
317,"Alan B. Cannaday,Curt H. Davis,Grant J. Scott",Improved Search and Detection of Surface-to-Air Missile Sites Using Spatial Fusion of Component Object Detections from Deep Neural Networks.,IGARSS,Conference and Workshop Papers,2019,closed,conf/igarss/CannadayDS19,https://doi.org/10.1109/IGARSS.2019.8898397
318,"Sohailah Safie,Nik Mohamad Aizuddin Nik Azmi,Rubiyah Yusof,Muhd Ridzuan Muhd Yunus,Mohammad Fairol Zamzuri Che Sayuti,Kok Keng Fai",Object Localization and Detection for Real-Time Automatic License Plate Detection (ALPR) System Using RetinaNet Algorithm.,IntelliSys,Conference and Workshop Papers,2019,closed,conf/intellisys/SafieAYYSF19,https://doi.org/10.1007/978-3-030-29516-5_57
319,"Urban B. Himmelsbach,Thomas M. Wendt,Nikolai Hangst,Philipp Gawron",Single Pixel Time-of-Flight Sensors for Object Detection and Self-Detection in Three-Sectional Single-Arm Robot Manipulators.,IRC,Conference and Workshop Papers,2019,closed,conf/irc/HimmelsbachWHG19,https://doi.org/10.1109/IRC.2019.00046
320,"Mei-Chen Li,Lokesh Sharma,Shih-Lin Wu",Enhance Object Detection Capability with the Object Relation.,I-SPAN,Conference and Workshop Papers,2019,closed,conf/ispan/LiSW19,https://doi.org/10.1007/978-3-030-30143-9_21
321,"Scott A. Carter,Laurent Denoue,Daniel Avrahami",Documenting Physical Objects with Live Video and Object Detection.,ACM Multimedia,Conference and Workshop Papers,2019,closed,conf/mm/CarterDA19,https://doi.org/10.1145/3343031.3350581
322,"Sidra Hanif,Chao Li 0007,Anis Alazzawe,Longin Jan Latecki",Image Retrieval with Similar Object Detection and Local Similarity to Detected Objects.,PRICAI,Conference and Workshop Papers,2019,closed,conf/pricai/HanifLAL19,https://doi.org/10.1007/978-3-030-29894-4_4
323,"Minjeong Ju,Sangkeun Moon,Chang D. Yoo",Object Detection for Similar Appearance Objects Based on Entropy.,RiTA,Conference and Workshop Papers,2019,closed,conf/rita/JuMY19,https://doi.org/10.1109/RITAPP.2019.8932791
